"Player","Team","Age","Position","Games","Starts","Minutes","Attempted.Passes","Successful.Passes","Key.Passes","Assists","Crosses","Long.Balls","Through.Balls"
"Wayne Hennessey","Crystal Palace",29,"GK",27,27,2430,699,307,0,0,0,205,0
"Martin Olsson","Norwich",27,"D(CL),M(C),FW",20,16,1493,394,250,8,2,10,30,0
"Artur Boruc","Bournemouth",36,"GK",29,29,2610,684,363,0,0,0,154,0
"Declan Rudd","Norwich",25,"GK",11,11,990,295,120,0,0,0,86,0
"Jamaal Lascelles","Newcastle United",22,"D(C)",14,6,789,363,290,1,0,0,22,0
"Jay Fulton","Swansea",22,"Midfielder",1,0,19,5,5,0,0,0,1,0
"Ikechi Anya","Watford",28,"D(L),M(LR),FW",24,14,1377,514,404,17,1,7,24,0
"Maarten Stekelenburg","Southampton",33,"GK",17,17,1530,406,236,2,0,0,112,0
"Maya Yoshida","Southampton",27,"D(CR)",20,10,1016,486,387,0,0,2,44,0
"Gabriel Obertan","Newcastle United",27,"D(C),M(LR)",5,3,279,97,81,3,1,2,2,0
"Ryan Mason","Tottenham",24,"DMC",17,6,633,377,319,8,0,2,29,2
"Gast—n Ram’rez","Southampton",25,"AM(CLR),FW",3,0,29,15,13,2,1,0,0,0
"Jack Grealish","Aston Villa",20,"AM(CL)",14,9,795,295,253,11,0,0,10,0
"John Ruddy","Norwich",29,"GK",23,23,2070,665,318,0,0,0,186,0
"Nacer Chadli","Tottenham",26,"AM(CL)",24,10,899,350,289,24,2,5,12,0
"G_khan Inler","Leicester",31,"D(C),DMC,M(R)",5,3,195,124,98,1,0,0,11,0
"Mame Biram Diouf","Stoke",28,"AM(CLR),FW",23,11,1151,237,173,9,1,0,5,0
"Darron Gibson","Everton",28,"D(C),M(CR)",5,1,122,83,71,2,0,0,8,0
"Alberto Paloschi","Swansea",26,"AM(C),FW",9,7,624,179,135,2,0,1,3,0
"Joe Ledley","Crystal Palace",29,"M(C)",18,11,970,394,314,4,0,0,14,0
"Chicharito","Manchester United",27,"AM(L),FW",1,0,23,14,12,1,0,0,0,0
"Lee Chung-yong","Crystal Palace",27,"D(C),M(CLR)",11,3,315,148,125,6,0,6,9,0
"Mark Bunn","Aston Villa",31,"GK",7,7,630,168,70,0,0,0,60,0
"Marco van Ginkel","Stoke",23,"DMC",17,8,753,372,306,5,0,2,17,0
"Charlie Austin","Southampton",26,"FW",6,2,201,48,31,1,0,1,1,0
"Graham Dorrans","Norwich",28,"M(CLR),FW",18,12,1096,616,523,13,1,2,43,2
"Joe Allen","Liverpool",26,"M(CR),FW",14,5,470,272,230,8,0,1,13,1
"Ivo Pinto","Norwich",26,"D(R)",6,5,451,164,128,1,0,6,12,0
"Jordi G—mez","Sunderland",30,"D(C),M(CLR),FW",6,5,356,156,134,2,0,3,8,0
"Jordi Amat","Swansea",24,"D(CL)",5,2,191,72,57,0,0,0,5,0
"Gabriel Agbonlahor","Aston Villa",29,"AM(CLR),FW",15,13,1037,224,159,14,2,2,4,0
"Modou Barrow","Swansea",23,"AM(R)",20,5,680,190,152,12,1,6,6,0
"Adnan Januzaj","Manchester United",21,"AM(CLR)",4,2,141,41,36,1,0,0,6,1
"Henri Saivet","Newcastle United",25,"D(C),M(CLR),FW",4,2,148,81,61,1,0,0,4,0
"Modibo Maiga","West Ham",28,"AM(CL),FW",3,0,25,10,5,0,0,0,0,0
"Baf_timbi Gomis","Swansea",30,"AM(LR),FW",31,18,1683,499,400,16,0,0,16,0
"Memphis Depay","Manchester United",22,"AM(L)",25,15,1343,575,462,10,0,15,20,0
"Gary O'Neil","Norwich",32,"D(C),M(CR)",23,15,1389,750,573,9,0,7,67,0
"Callum McManaman","West Bromwich Albion",24,"AM(LR),FW",12,2,276,77,68,8,1,4,0,0
"Juan Carlos Paredes","Watford",28,"D(R),M(R)",14,5,574,169,120,3,0,6,14,0
"Alan Hutton","Aston Villa",31,"D(R)",25,23,2060,740,560,20,1,22,42,0
"Sandro","West Bromwich Albion",27,"D(C),M(CR)",8,4,302,100,64,1,0,2,1,0
"Duncan Watmore","Sunderland",22,"Forward",18,6,744,130,95,9,0,2,4,2
"Nordin Amrabat","Watford",29,"AM(CLR),FW",8,3,363,111,86,4,0,6,7,1
"Victor Anichebe","West Bromwich Albion",27,"M(CL),FW",10,3,365,108,70,5,0,0,0,0
"Steven Naismith","Norwich",29,"AM(CLR),FW",10,9,697,255,180,8,0,1,3,1
"Youssouf Mulumbu","Norwich",29,"M(CR),FW",7,5,371,157,140,1,0,0,8,0
"Tyias Browning","Everton",21,"D(R)",5,3,298,92,75,2,0,0,4,0
"Alex Pritchard","West Bromwich Albion",22,"AM(CL)",2,0,62,22,18,0,0,0,0,0
"Dwight Gayle","Crystal Palace",25,"AM(L),FW",13,6,573,104,66,4,0,1,1,0
"Adama Traor_","Aston Villa",20,"Forward",10,0,184,30,24,1,1,2,2,0
"Steve Sidwell","Stoke",33,"M(CR)",1,0,12,6,5,0,0,0,0,0
"Steven Pienaar","Everton",34,"D(C),M(CLR),FW",3,0,90,66,55,1,0,1,3,0
