Receiver,Team,Age,Pos,G,GS,Tgt,Rec,Ctch.,Yds,Y.R,TD,Lng,R.G,Y.G,Fmb
Derrick Coleman,SEA,25,FB/RB,14,3,1,1,100.00%,0,0,0,0,0.1,0,0
DeSean Jackson,WAS,29,WR,10,9,49,30,61.20%,528,17.6,4,77,3,52.8,1
DeVante Parker,MIA,22,WR,15,4,50,26,52.00%,494,19,3,49,1.7,32.9,0
Devin Funchess,CAR,21,WR,16,5,63,31,49.20%,473,15.3,5,52,1.9,29.6,1
Devin Smith,NYJ,23,WR,10,3,28,9,32.10%,115,12.8,1,22,0.9,11.5,1
Devin Street,DAL,24,WR,14,2,13,7,53.80%,114,16.3,1,25,0.5,8.1,1
Devonta Freeman,ATL,23,RB,15,13,97,73,75.30%,578,7.9,3,44,4.9,38.5,3
Dexter McCluster,TEN,27,RB,11,2,41,31,75.60%,260,8.4,1,35,2.8,23.6,2
Dez Bryant,DAL,27,WR,9,9,72,31,43.10%,401,12.9,3,51,3.4,44.6,0
Dion Lewis,NWE,25,RB,7,6,50,36,72.00%,388,10.8,2,40,5.1,55.4,2
Dion Sims,MIA,24,TE,13,4,25,18,72.00%,127,7.1,1,22,1.4,9.8,1
Donald Brown,SDG,28,RB,9,2,13,8,61.50%,88,11,0,31,0.9,9.8,1
Donald Penn,OAK,32,LT,16,16,1,1,100.00%,3,3,0,3,0.1,0.2,0
Donte Moncrief,IND,22,WR,16,10,105,64,61.00%,733,11.5,6,33,4,45.8,0
Donteea Dye,TAM,22,WR,10,6,30,11,36.70%,132,12,1,44,1.1,13.2,1
Dontrelle Inman,SDG,26,WR,14,7,63,35,55.60%,486,13.9,3,68,2.5,34.7,2
Dorial Green-Beckham,TEN,22,WR,16,5,67,32,47.80%,549,17.2,4,47,2,34.3,0
Doug Baldwin,SEA,27,WR,16,16,103,78,75.70%,1069,13.7,14,80,4.9,66.8,1
Doug Martin,TAM,26,RB,16,16,44,33,75.00%,271,8.2,1,25,2.1,16.9,5
DuJuan Harris,2TM,27,,4,1,14,9,64.30%,97,10.8,0,31,2.3,24.3,1
Duke Johnson,CLE,22,RB,16,7,74,61,82.40%,534,8.8,2,52,3.8,33.4,1
Dwayne Allen,IND,25,TE,13,12,29,16,55.20%,109,6.8,1,21,1.2,8.4,0
Dwayne Bowe,CLE,31,,7,0,13,5,38.50%,53,10.6,0,16,0.7,7.6,0
Dwayne Harris,NYG,28,FB/WR,15,6,57,36,63.20%,396,11,4,38,2.4,26.4,3
E.J. Bibbs,CLE,24,,7,0,2,1,50.00%,7,7,0,7,0.1,1,0
Ed Dickson,CAR,28,TE,16,11,26,17,65.40%,121,7.1,2,17,1.1,7.6,0
Eddie Lacy,GNB,25,RB,15,12,28,20,71.40%,188,9.4,2,28,1.3,12.5,4
Eddie Royal,CHI,29,WR,9,9,50,37,74.00%,238,6.4,1,30,4.1,26.4,0
Emmanuel Sanders,DEN,28,WR,15,15,136,76,55.90%,1135,14.9,6,75,5.1,75.7,2
Ereck Flowers,NYG,21,LT,15,15,1,1,100.00%,-11,-11,0,-11,0.1,-0.7,0
Eric Decker,NYJ,28,WR,15,13,132,80,60.60%,1027,12.8,12,35,5.3,68.5,1
Eric Ebron,DET,22,TE,14,8,70,47,67.10%,537,11.4,5,55,3.4,38.4,0
Eric Weems,ATL,30,,16,0,1,1,100.00%,11,11,0,11,0.1,0.7,0
Fozzy Whittaker,CAR,26,RB,15,1,15,12,80.00%,64,5.3,0,15,0.8,4.3,0
Frank Gore,IND,32,RB,16,16,58,34,58.60%,267,7.9,1,34,2.1,16.7,4
Fred Jackson,SEA,34,,16,0,41,32,78.00%,257,8,2,26,2,16.1,1
Garrett Celek,SFO,27,TE,11,8,28,19,67.90%,186,9.8,3,33,1.7,16.9,0
Garrett Graham,HOU,29,FB/TE,8,2,19,4,21.10%,30,7.5,1,9,0.5,3.8,0
Gary Barnidge,CLE,30,TE,16,13,125,79,63.20%,1043,13.2,9,40,4.9,65.2,0
Gavin Escobar,DAL,24,TE,14,4,13,8,61.50%,64,8,1,22,0.6,4.6,1
Geoff Swaim,DAL,24,TE,4,1,1,1,100.00%,0,0,0,0,0.3,0,0
Geremy Davis,NYG,23,,10,0,3,2,66.70%,21,10.5,0,16,0.2,2.1,0
Giovani Bernard,CIN,24,RB,16,1,66,49,74.20%,472,9.6,0,45,3.1,29.5,1
Golden Tate,DET,27,WR,16,16,128,90,70.30%,813,9,6,43,5.6,50.8,1
Greg Jennings,MIA,32,WR,16,5,36,19,52.80%,208,10.9,1,31,1.2,13,0
Greg Olsen,CAR,30,TE,16,16,124,77,62.10%,1104,14.3,7,52,4.8,69,1
Greg Salas,BUF,27,,2,0,5,3,60.00%,41,13.7,0,20,1.5,20.5,0
Griff Whalen,IND,25,,14,0,26,19,73.10%,205,10.8,1,38,1.4,14.6,4
Hakeem Nicks,NYG,27,WR,6,2,14,7,50.00%,54,7.7,0,19,1.2,9,0
Harry Douglas,TEN,31,WR,14,12,72,36,50.00%,411,11.4,2,51,2.6,29.4,2
Heath Miller,PIT,33,TE,15,15,81,60,74.10%,535,8.9,2,27,4,35.7,0
Isaiah Crowell,CLE,22,RB,16,9,22,19,86.40%,182,9.6,1,53,1.2,11.4,0
Jack Doyle,IND,25,TE,16,2,14,12,85.70%,72,6,1,19,0.8,4.5,0
Jacob Tamme,ATL,30,TE,15,8,81,59,72.80%,657,11.1,1,41,3.9,43.8,0
Jacquizz Rodgers,CHI,25,,5,0,3,1,33.30%,10,10,0,10,0.2,2,0
Jaelen Strong,HOU,21,WR,10,1,24,14,58.30%,161,11.5,3,42,1.4,16.1,0
Jake Fisher,CIN,22,TE,14,1,5,1,20.00%,31,31,0,31,0.1,2.2,0
Jake Stoneburner,MIA,26,TE,11,1,5,5,100.00%,47,9.4,2,13,0.5,4.3,0
Jalston Fowler,TEN,25,,16,0,6,5,83.30%,44,8.8,1,19,0.3,2.8,0
Jamaal Charles,KAN,29,RB,5,5,29,21,72.40%,177,8.4,1,26,4.2,35.4,2
James Hanna,DAL,26,TE,14,7,14,9,64.30%,79,8.8,0,17,0.6,5.6,0
James Jones,GNB,31,WR,16,15,99,50,50.50%,890,17.8,8,65,3.1,55.6,1
James O'Shaughnessy,KAN,23,TE,7,3,9,6,66.70%,87,14.5,0,30,0.9,12.4,0
James Starks,GNB,29,RB,16,4,53,43,81.10%,392,9.1,3,30,2.7,24.5,5
James White,NWE,23,RB,14,1,54,40,74.10%,410,10.3,4,68,2.9,29.3,0
Jamison Crowder,WAS,22,FB/WR,16,6,78,59,75.60%,604,10.2,2,44,3.7,37.8,4
Jamize Olawale,OAK,26,FB,14,3,11,9,81.80%,84,9.3,0,15,0.6,6,0
Jared Abbrederis,GNB,25,,9,0,16,9,56.30%,111,12.3,0,32,1,12.3,1
Jared Cook,STL,28,TE,16,12,75,39,52.00%,481,12.3,0,49,2.4,30.1,2
Jarius Wright,MIN,26,WR,16,3,50,34,68.00%,442,13,0,52,2.1,27.6,1
Jaron Brown,ARI,25,,16,0,23,11,47.80%,144,13.1,1,39,0.7,9,0
Jarryd Hayne,SFO,27,RB,8,1,7,6,85.70%,27,4.5,0,7,0.8,3.4,3
Jarvis Landry,MIA,23,WR,16,14,166,110,66.30%,1157,10.5,4,50,6.9,72.3,1
Jason Avant,KAN,32,WR,16,1,24,15,62.50%,119,7.9,0,20,0.9,7.4,0
Jason Witten,DAL,33,TE,16,16,104,77,74.00%,713,9.3,3,35,4.8,44.6,1
Javontee Herndon,SDG,24,WR,8,2,33,24,72.70%,195,8.1,0,21,3,24.4,2
Javorius Allen,BAL,24,RB,16,6,62,45,72.60%,353,7.8,2,41,2.8,22.1,2
Jay Ajayi,MIA,22,,9,0,11,7,63.60%,90,12.9,0,20,0.8,10,0
Jeff Cumberland,NYJ,28,TE,15,6,14,5,35.70%,77,15.4,0,44,0.3,5.1,0
Jeff Janis,GNB,24,,16,0,12,2,16.70%,79,39.5,0,46,0.1,4.9,0
Jeremy Butler,BAL,24,,8,0,44,31,70.50%,363,11.7,0,41,3.9,45.4,1
Jeremy Hill,CIN,23,RB,16,15,19,15,78.90%,79,5.3,1,14,0.9,4.9,3
Jeremy Kerley,NYJ,27,WR,16,1,26,16,61.50%,152,9.5,2,25,1,9.5,1
Jeremy Langford,CHI,24,RB,16,2,42,22,52.40%,279,12.7,1,83,1.4,17.4,0
Jeremy Maclin,KAN,27,WR,15,15,124,87,70.20%,1088,12.5,8,61,5.8,72.5,2
Jeremy Ross,2TM,27,,11,0,14,9,64.30%,88,9.8,0,18,0.8,8,4
Jerick McKinnon,MIN,23,,16,0,29,21,72.40%,173,8.2,1,30,1.3,10.8,0
Jermaine Gresham,ARI,27,TE/WR,15,12,32,18,56.30%,223,12.4,1,22,1.2,14.9,0
Jermaine Kearse,SEA,25,WR,16,16,68,49,72.10%,685,14,5,50,3.1,42.8,1
Jerome Cunningham,NYG,24,FB/TE,9,3,16,8,50.00%,59,7.4,0,16,0.9,6.6,0
Jerome Felton,BUF,29,FB,16,8,2,1,50.00%,12,12,0,12,0.1,0.8,0
Jerome Simpson,SFO,29,WR,5,1,19,5,26.30%,54,10.8,1,16,1,10.8,0
Jerricho Cotchery,CAR,33,WR,14,3,54,39,72.20%,485,12.4,3,59,2.8,34.6,0
Jesse James,PIT,21,TE,8,2,11,8,72.70%,56,7,1,20,1,7,0
Jim Dray,CLE,29,FB/TE,16,10,16,6,37.50%,61,10.2,0,18,0.4,3.8,0
Jimmy Graham,SEA,29,TE,11,11,74,48,64.90%,605,12.6,2,45,4.4,55,0
JJ Nelson,ARI,23,WR,11,2,27,11,40.70%,299,27.2,2,64,1,27.2,1
John Brown,ARI,25,WR,15,11,101,65,64.40%,1003,15.4,7,68,4.3,66.9,1
John Kuhn,GNB,33,FB,16,6,10,6,60.00%,56,9.3,0,19,0.4,3.5,0
John Phillips,SDG,28,TE,16,5,11,10,90.90%,69,6.9,1,15,0.6,4.3,0
Joique Bell,DET,29,RB,13,5,27,22,81.50%,286,13,0,39,1.7,22,1
Jonas Gray,2TM,25,,8,0,8,7,87.50%,76,10.9,0,25,0.9,9.5,0
Jonathan Grimes,HOU,26,,14,0,31,26,83.90%,173,6.7,1,19,1.9,12.4,0
Jonathan Krause,PHI,23,,2,0,4,2,50.00%,11,5.5,0,7,1,5.5,0
Jonathan Stewart,CAR,28,RB,13,13,21,16,76.20%,99,6.2,1,15,1.2,7.6,3
Jordan Cameron,MIA,27,TE,16,16,70,35,50.00%,386,11,3,29,2.2,24.1,1
Jordan Matthews,PHI,23,WR,16,13,126,85,67.50%,997,11.7,8,78,5.3,62.3,2
Jordan Norwood,DEN,29,WR,11,5,32,22,68.80%,207,9.4,0,34,2,18.8,1
Jordan Reed,WAS,25,TE/WR,14,9,114,87,76.30%,952,10.9,11,32,6.2,68,3
Jorvorskie Lane,TAM,28,FB,16,6,2,2,100.00%,13,6.5,0,8,0.1,0.8,0
Joseph Randle,DAL,24,RB,6,6,10,10,100.00%,87,8.7,0,25,1.7,14.5,1
Josh Bellamy,CHI,26,WR,16,3,34,19,55.90%,224,11.8,2,48,1.2,14,0
Josh Hill,NOR,25,TE,16,7,30,16,53.30%,120,7.5,2,19,1,7.5,0
Josh Huff,PHI,24,WR,15,4,42,27,64.30%,312,11.6,3,41,1.8,20.8,0
Josh Robinson,IND,23,,5,0,6,6,100.00%,33,5.5,0,9,1.2,6.6,1
Julian Edelman,NWE,29,WR,9,9,88,61,69.30%,692,11.3,7,59,6.8,76.9,1
Julio Jones,ATL,26,WR,16,16,203,136,67.00%,1871,13.8,8,70,8.5,116.9,3
Julius Thomas,JAX,27,TE,12,11,80,46,57.50%,455,9.9,5,34,3.8,37.9,0
Justin Forsett,BAL,30,RB,10,10,41,31,75.60%,153,4.9,0,32,3.1,15.3,0
Justin Hardy,ATL,24,WR,9,1,36,21,58.30%,194,9.2,0,23,2.3,21.6,0
Justin Hunter,TEN,24,WR,9,5,31,22,71.00%,264,12,1,29,2.4,29.3,0
Justin Perillo,GNB,24,,9,0,13,11,84.60%,102,9.3,1,24,1.2,11.3,0
Juwan Thompson,DEN,23,FB,15,1,9,6,66.70%,51,8.5,0,16,0.4,3.4,0
Ka'Deem Carey,CHI,23,RB,10,1,3,3,100.00%,19,6.3,1,11,0.3,1.9,1
Kamar Aiken,BAL,26,WR,16,14,127,75,59.10%,944,12.6,5,48,4.7,59,1
Karlos Williams,BUF,22,FB/RB,11,3,14,11,78.60%,96,8.7,2,26,1,8.7,2
Kasen Williams,SEA,NA,,2,0,1,1,100.00%,8,8,0,8,0.5,4,0
Keenan Allen,SDG,23,WR,8,8,89,67,75.30%,725,10.8,4,38,8.4,90.6,1
Keith Mumphery,HOU,23,WR,16,3,32,14,43.80%,129,9.2,0,26,0.9,8.1,3
Kellen Davis,NYJ,30,FB/TE,16,9,11,3,27.30%,18,6,1,9,0.2,1.1,0
Kenbrell Thompkins,NYJ,27,WR,7,2,33,17,51.50%,165,9.7,0,43,2.4,23.6,0
Kendall Gaskins,SFO,25,,9,0,10,8,80.00%,69,8.6,0,16,0.9,7.7,0
Kendall Lamm,HOU,23,T/TE,15,4,1,1,100.00%,7,7,0,7,0.1,0.5,0
Kendall Wright,TEN,26,WR,10,9,60,36,60.00%,408,11.3,3,52,3.6,40.8,0
Kenjon Barner,PHI,26,,11,0,12,9,75.00%,22,2.4,0,12,0.8,2,1
Kenny Britt,STL,27,WR,16,13,72,36,50.00%,681,18.9,3,60,2.3,42.6,0
Kenny Stills,MIA,23,WR,16,8,63,27,42.90%,440,16.3,3,47,1.7,27.5,0
Kerwynn Williams,ARI,24,,6,0,2,2,100.00%,16,8,0,12,0.3,2.7,1
Keshawn Martin,NWE,25,WR,9,8,37,24,64.90%,269,11.2,2,39,2.7,29.9,1
Kevin Smith,SEA,24,WR,7,1,5,3,60.00%,43,14.3,0,21,0.4,6.1,0
Khari Lee,CHI,23,TE,16,7,3,1,33.30%,7,7,0,7,0.1,0.4,0
Khiry Robinson,NOR,26,,8,0,20,17,85.00%,115,6.8,0,22,2.1,14.4,0
Knile Davis,KAN,24,,14,0,3,2,66.70%,24,12,0,12,0.1,1.7,0
Kyle Juszczyk,BAL,24,FB,16,11,56,41,73.20%,321,7.8,4,39,2.6,20.1,0
Kyle Rudolph,MIN,26,TE,16,16,73,49,67.10%,495,10.1,5,47,3.1,30.9,0
Ladarius Green,SDG,25,TE,13,11,63,37,58.70%,429,11.6,4,31,2.8,33,0
Lamar Miller,MIA,24,RB,16,16,57,47,82.50%,397,8.4,2,54,2.9,24.8,1
