Receiver,Team,Age,Pos,G,GS,Tgt,Rec,Ctch.,Yds,Y.R,TD,Lng,R.G,Y.G,Fmb
Trey Burton,PHI,24,,16,0,4,3,75.00%,54,18,0,43,0.2,3.4,0
Troy Niklas,ARI,23,TE,16,3,4,4,100.00%,33,8.3,2,13,0.3,2.1,0
Ty Montgomery,GNB,22,WR,6,3,19,15,78.90%,136,9.1,2,31,2.5,22.7,0
Tyler Clutts,DAL,31,FB,16,5,1,1,100.00%,4,4,0,4,0.1,0.3,0
Tyler Eifert,CIN,25,TE,13,12,74,52,70.30%,615,11.8,13,31,4,47.3,0
Tyler Kroft,CIN,23,TE,16,6,15,11,73.30%,129,11.7,1,22,0.7,8.1,0
Tyler Lockett,SEA,23,FB/WR,16,8,69,51,73.90%,664,13,6,49,3.2,41.5,1
Tyler Murphy,PIT,23,,2,0,1,1,100.00%,16,16,0,16,0.5,8,0
Tyler Varga,IND,22,,3,0,2,1,50.00%,18,18,0,18,0.3,6,0
Tyrell Williams,SDG,23,,4,0,5,2,40.00%,90,45,1,80,0.5,22.5,0
Tyrod Taylor,BUF,26,QB/WR,14,14,1,1,100.00%,4,4,0,4,0.1,0.3,9
Tyson Alualu,JAX,28,DT,16,14,3,2,66.70%,19,9.5,0,16,0.1,1.2,0
Vance McDonald,SFO,25,TE/WR,14,11,46,30,65.20%,326,10.9,3,36,2.1,23.3,2
Vernon Davis,2TM,31,,15,9,58,38,65.50%,395,10.4,0,43,2.5,26.3,0
Vincent Brown,SDG,26,,1,0,2,1,50.00%,22,22,0,22,1,22,0
Vincent Jackson,TAM,32,WR,10,9,62,33,53.20%,543,16.5,3,36,3.3,54.3,0
Virgil Green,DEN,27,FB/TE,16,5,15,12,80.00%,173,14.4,1,32,0.8,10.8,0
Wes Welker,STL,34,,8,0,22,13,59.10%,102,7.8,0,14,1.6,12.8,0
Wesley Johnson,NYJ,24,C,10,1,1,1,100.00%,-5,-5,0,-5,0.1,-0.5,0
Will Johnson,PIT,26,FB,16,4,4,2,50.00%,16,8,0,11,0.1,1,0
Will Tukuafu,SEA,31,FB,14,1,1,1,100.00%,7,7,1,7,0.1,0.5,1
Will Tye,NYG,24,TE/WR,13,7,62,42,67.70%,464,11,3,45,3.2,35.7,1
Willie Snead,NOR,23,FB/WR,15,9,101,69,68.30%,984,14.3,3,63,4.6,65.6,2
Zac Stacy,NYJ,24,,8,0,12,9,75.00%,65,7.2,0,16,1.1,8.1,0
Zach Ertz,PHI,25,TE/WR,15,6,112,75,67.00%,853,11.4,2,60,5,56.9,1
Zach Line,MIN,25,FB/TE,16,5,9,6,66.70%,95,15.8,1,49,0.4,5.9,0
Zach Miller,CHI,31,FB/TE,15,14,46,34,73.90%,439,12.9,5,87,2.3,29.3,0
Zach Zenner,DET,24,RB,6,1,3,2,66.70%,11,5.5,0,7,0.3,1.8,0
Zurlon Tipton,IND,25,,10,0,8,5,62.50%,57,11.4,0,27,0.5,5.7,0
