Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
Kalen Ballage,MIA,23,,12,0,11,9,81.80%,56,6.2,0,31,0.8,4.7,1
Austin Carr,NOR,25,wr,14,2,14,9,64.30%,97,10.8,2,25,0.6,6.9,0
Corey Grant,JAX,27,rb,5,1,12,9,75.00%,67,7.4,0,16,1.8,13.4,0
Jermaine Gresham,ARI,30,TE,13,11,12,9,75.00%,94,10.4,0,26,0.7,7.2,1
Dontrell Hilliard,CLE,23,,11,0,10,9,90.00%,105,11.7,0,24,0.8,9.5,0
Richie James,SFO,23,wr,13,2,14,9,64.30%,130,14.4,1,53,0.7,10,2
Cameron Meredith,NOR,26,wr,6,1,10,9,90.00%,114,12.7,1,46,1.5,19,1
Logan Paulsen,ATL,31,TE,15,10,9,9,100.00%,91,10.1,1,19,0.6,6.1,0
Rashaad Penny,SEA,22,,14,0,12,9,75.00%,75,8.3,0,24,0.6,5.4,0
MyCole Pruitt,TEN,26,te,15,1,11,9,81.80%,102,11.3,1,27,0.6,6.8,0
Trey Quinn,WAS,23,wr,3,2,10,9,90.00%,75,8.3,1,15,3,25,0
Michael Roberts,DET,24,te,8,2,20,9,45.00%,100,11.1,3,29,1.1,12.5,0
Scott Simonson,NYG,26,te,16,4,14,9,64.30%,86,9.6,1,24,0.6,5.4,0
Rod Smith,DAL,26,rb,16,1,12,9,75.00%,60,6.7,0,14,0.6,3.8,0
Tavon Austin,DAL,28,,7,0,13,8,61.50%,140,17.5,2,64,1.1,20,0
Cameron Batson,TEN,23,wr,11,2,11,8,72.70%,82,10.3,0,26,0.7,7.5,1
Blake Bell,JAX,27,te,10,4,11,8,72.70%,67,8.4,0,16,0.8,6.7,0
Jake Butt,DEN,23,te,3,3,13,8,61.50%,85,10.6,0,22,2.7,28.3,0
Will Dissly,SEA,22,te,4,4,14,8,57.10%,156,19.5,2,66,2,39,0
Andy Janovich,DEN,25,fb,16,7,10,8,80.00%,112,14,1,32,0.5,7,0
Jake Kumerow,GNB,26,wr,5,2,11,8,72.70%,103,12.9,1,49,1.6,20.6,0
Taquan Mizzell,CHI,25,wr,9,1,10,8,80.00%,78,9.8,1,26,0.9,8.7,0
Alfred Morris,SFO,30,rb,12,1,13,8,61.50%,73,9.1,0,16,0.7,6.1,2
Nick O'Leary,MIA,26,te,12,7,10,8,80.00%,86,10.8,1,19,0.7,7.2,0
Elijhaa Penny,NYG,25,rb,14,3,9,8,88.90%,50,6.3,0,16,0.6,3.6,0
Anthony Sherman*,KAN,30,fb,16,1,9,8,88.90%,96,12,1,36,0.5,6,0
Erik Swoope,IND,26,te,7,2,10,8,80.00%,87,10.9,3,26,1.1,12.4,0
