Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
Tyler Boyd,CIN,24,WR,14,14,108,76,70.40%,1028,13.5,7,49,5.4,73.4,0
T.Y. Hilton,IND,29,WR,14,14,120,76,63.30%,1270,16.7,6,68,5.4,90.7,0
Adam Humphries,TAM,25,WR,16,10,105,76,72.40%,816,10.7,5,51,4.8,51,2
Amari Cooper*,2TM,24,,15,15,107,75,70.10%,1005,13.4,7,90,5,67,2
Julian Edelman,NWE,32,WR,12,12,108,74,68.50%,850,11.5,6,36,6.2,70.8,1
Golden Tate,2TM,30,,15,8,113,74,65.50%,795,10.7,4,67,4.9,53,3
Tarik Cohen*+,CHI,23,rb/wr,16,7,91,71,78.00%,725,10.2,5,70,4.4,45.3,7
Austin Hooper*,ATL,24,te,16,7,88,71,80.70%,660,9.3,4,36,4.4,41.3,0
Emmanuel Sanders,DEN,31,WR,12,12,98,71,72.40%,868,12.2,4,64,5.9,72.3,1
Kenny Golladay,DET,25,WR,15,13,119,70,58.80%,1063,15.2,5,60,4.7,70.9,1
Larry Fitzgerald,ARI,35,WR,16,16,112,69,61.60%,734,10.6,6,37,4.3,45.9,0
Jared Cook*,OAK,31,TE,16,14,101,68,67.30%,896,13.2,6,45,4.3,56,0
Jalen Richard,OAK,25,rb,16,1,81,68,84.00%,607,8.9,0,32,4.3,37.9,3
Taylor Gabriel,CHI,27,WR,16,11,93,67,72.00%,688,10.3,2,54,4.2,43,1
Eric Ebron*,IND,25,te/wr,16,8,110,66,60.00%,750,11.4,13,53,4.1,46.9,1
Mohamed Sanu,ATL,29,WR,16,16,94,66,70.20%,838,12.7,4,44,4.1,52.4,2
Sterling Shepard,NYG,25,WR,16,16,107,66,61.70%,872,13.2,4,58,4.1,54.5,1
Dede Westbrook,JAX,25,WR,16,9,101,66,65.30%,717,10.9,5,61,4.1,44.8,3
Cole Beasley,DAL,29,wr,16,4,87,65,74.70%,672,10.3,3,32,4.1,42,0
Corey Davis,TEN,23,WR,16,16,112,65,58.00%,891,13.7,4,51,4.1,55.7,1
Alshon Jeffery,PHI,28,WR,13,13,92,65,70.70%,843,13,6,52,5,64.8,1
Nelson Agholor,PHI,25,WR,16,16,97,64,66.00%,736,11.5,4,83,4,46,1
Calvin Ridley,ATL,24,wr,16,5,92,64,69.60%,821,12.8,10,75,4,51.3,2
Kyle Rudolph,MIN,29,TE,16,16,82,64,78.00%,634,9.9,4,44,4,39.6,0
Nyheim Hines,IND,22,rb,16,4,81,63,77.80%,425,6.7,2,28,3.9,26.6,1
Jordy Nelson,OAK,33,WR,15,14,88,63,71.60%,739,11.7,3,66,4.2,49.3,1
Willie Snead,BAL,26,WR,16,10,95,62,65.30%,651,10.5,1,28,3.9,40.7,0
Theo Riddick,DET,27,wr,14,3,74,61,82.40%,384,6.3,0,20,4.4,27.4,0
Danny Amendola,MIA,33,WR,15,15,79,59,74.70%,575,9.7,1,39,3.9,38.3,2
Chris Godwin,TAM,22,wr,16,5,95,59,62.10%,842,14.3,7,48,3.7,52.6,4
Todd Gurley*+,LAR,24,RB,14,14,81,59,72.80%,580,9.8,4,56,4.2,41.4,1
Dion Lewis,TEN,28,rb,16,7,67,59,88.10%,400,6.8,1,37,3.7,25,1
Demaryius Thomas,2TM,31,,15,15,89,59,66.30%,677,11.5,5,45,3.9,45.1,0
Tyler Lockett,SEA,26,WR,16,14,70,57,81.40%,965,16.9,10,52,3.6,60.3,2
Zay Jones,BUF,23,WR,16,15,102,56,54.90%,652,11.6,7,57,3.5,40.8,1
David Njoku,CLE,22,TE,16,14,88,56,63.60%,639,11.4,4,66,3.5,39.9,0
James Conner*,PIT,23,RB,13,12,71,55,77.50%,497,9,1,29,4.2,38.2,4
Jimmy Graham,GNB,32,TE,16,12,89,55,61.80%,636,11.6,2,54,3.4,39.8,0
D.J. Moore,CAR,21,WR,16,10,82,55,67.10%,788,14.3,2,82,3.4,49.3,4
Allen Robinson,CHI,25,WR,13,12,94,55,58.50%,754,13.7,4,43,4.2,58,1
T.J. Yeldon,JAX,25,rb,14,5,78,55,70.50%,487,8.9,4,37,3.9,34.8,1
Trey Burton,CHI,27,TE,16,16,76,54,71.10%,569,10.5,6,47,3.4,35.6,1
Michael Crabtree,BAL,31,WR,16,16,100,54,54.00%,607,11.2,3,27,3.4,37.9,0
Jordan Reed,WAS,28,te/wr,13,8,84,54,64.30%,558,10.3,2,34,4.2,42.9,1
Kenyan Drake,MIA,24,rb,16,7,73,53,72.60%,477,9,5,52,3.3,29.8,2
Chester Rogers,IND,24,WR,16,10,72,53,73.60%,485,9.2,2,34,3.3,30.3,1
Robby Anderson,NYJ,25,WR,14,9,94,50,53.20%,752,15,6,76,3.6,53.7,2
Doug Baldwin,SEA,30,WR,13,13,73,50,68.50%,618,12.4,5,42,3.8,47.5,0
Melvin Gordon*,LAC,25,RB,12,12,66,50,75.80%,490,9.8,4,66,4.2,40.8,1
David Johnson,ARI,27,RB,16,16,76,50,65.80%,446,8.9,3,40,3.1,27.9,3
Vance McDonald,PIT,28,TE,15,14,72,50,69.40%,610,12.2,4,75,3.3,40.7,2
Donte Moncrief,JAX,25,WR,16,14,89,48,53.90%,668,13.9,3,80,3,41.8,1
Rob Gronkowski,NWE,29,TE,13,11,72,47,65.30%,682,14.5,3,42,3.6,52.5,1
Duke Johnson,CLE,25,rb,16,2,62,47,75.80%,429,9.1,3,32,2.9,26.8,1
A.J. Green,CIN,30,WR,9,9,77,46,59.70%,694,15.1,6,38,5.1,77.1,2
Evan Engram,NYG,24,TE,11,8,64,45,70.30%,577,12.8,3,54,4.1,52.5,0
Seth Roberts,OAK,27,wr,15,7,64,45,70.30%,494,11,2,44,3,32.9,0
Josh Doctson,WAS,26,WR,15,12,78,44,56.40%,532,12.1,2,32,2.9,35.5,0
Devin Funchess,CAR,24,WR,14,12,79,44,55.70%,549,12.5,4,27,3.1,39.2,0
Antonio Callaway,CLE,21,WR,16,11,79,43,54.40%,586,13.6,5,71,2.7,36.6,1
Christian Kirk,ARI,22,wr,12,7,68,43,63.20%,590,13.7,3,75,3.6,49.2,0
Joe Mixon,CIN,22,RB,14,13,55,43,78.20%,296,6.9,1,21,3.1,21.1,0
C.J. Uzomah,CIN,25,TE,16,15,64,43,67.20%,439,10.2,3,29,2.7,27.4,0
Mike Williams,LAC,24,wr,16,5,66,43,65.20%,664,15.4,10,55,2.7,41.5,0
Jarius Wright,CAR,29,fb/wr,16,6,59,43,72.90%,447,10.4,1,33,2.7,27.9,3
Kendrick Bourne,SFO,23,WR,16,8,66,42,63.60%,487,11.6,4,33,2.6,30.4,1
John Brown,BAL,28,WR,16,15,97,42,43.30%,715,17,5,71,2.6,44.7,0
Courtland Sutton,DEN,23,WR,16,9,84,42,50.00%,704,16.8,4,42,2.6,44,0
Josh Gordon,2TM,27,,12,12,71,41,57.70%,737,18,4,55,3.4,61.4,0
DeSean Jackson,TAM,32,WR,12,10,74,41,55.40%,774,18.9,4,75,3.4,64.5,0
Chris Thompson,WAS,28,,10,0,55,41,74.50%,268,6.5,1,23,4.1,26.8,1
Tyrell Williams,LAC,26,lcb/wr,16,10,65,41,63.10%,653,15.9,5,75,2.6,40.8,2
Dalvin Cook,MIN,23,RB,11,10,49,40,81.60%,305,7.6,2,27,3.6,27.7,2
Cooper Kupp,LAR,25,WR,8,8,55,40,72.70%,566,14.2,6,70,5,70.8,0
Sammy Watkins,KAN,25,WR,10,9,55,40,72.70%,519,13,3,50,4,51.9,1
Austin Ekeler,LAC,23,rb,14,3,53,39,73.60%,404,10.4,3,44,2.8,28.9,1
Chris Herndon,NYJ,22,TE,16,12,56,39,69.60%,502,12.9,4,32,2.4,31.4,2
Rashard Higgins,CLE,24,wr,13,1,53,39,73.60%,572,14.7,4,40,3,44,2
Curtis Samuel,CAR,22,WR,13,8,65,39,60.00%,494,12.7,5,53,3,38,1
Devontae Booker,DEN,26,,16,0,51,38,74.50%,275,7.2,0,30,2.4,17.2,1
Randall Cobb,GNB,28,wr,9,6,61,38,62.30%,383,10.1,2,75,4.2,42.6,2
Keelan Cole,JAX,25,WR,16,11,70,38,54.30%,491,12.9,1,35,2.4,30.7,2
Quincy Enunwa,NYJ,26,WR,11,10,68,38,55.90%,449,11.8,1,42,3.5,40.8,2
Jacquizz Rodgers,TAM,28,,16,0,45,38,84.40%,304,8,0,24,2.4,19,1
Marquez Valdes-Scantling,GNB,24,WR,16,10,73,38,52.10%,581,15.3,2,60,2.4,36.3,0
Jermaine Kearse,NYJ,28,WR,14,9,76,37,48.70%,371,10,1,29,2.6,26.5,0
Kenny Stills,MIA,26,WR,15,15,64,37,57.80%,553,14.9,6,75,2.5,36.9,1
Taywan Taylor,TEN,23,wr,13,5,56,37,66.10%,466,12.6,1,55,2.8,35.8,1
Ryan Switzer,PIT,24,wr,16,1,44,36,81.80%,253,7,1,24,2.3,15.8,2
Ian Thomas,CAR,22,te,16,6,49,36,73.50%,333,9.3,2,31,2.3,20.8,0
Javorius Allen,BAL,27,,14,0,43,35,81.40%,196,5.6,2,17,2.5,14,1
Giovani Bernard,CIN,27,rb,12,4,48,35,72.90%,218,6.2,0,26,2.9,18.2,0
Ryan Grant,IND,28,WR,14,10,52,35,67.30%,334,9.5,1,23,2.5,23.9,0
Chris Hogan,NWE,30,wr,16,7,55,35,63.60%,532,15.2,3,63,2.2,33.3,0
Marvin Jones,DET,28,WR,9,9,62,35,56.50%,508,14.5,5,39,3.9,56.4,0
Phillip Lindsay*,DEN,24,RB,15,8,47,35,74.50%,241,6.9,1,29,2.3,16.1,0
Laquon Treadwell,MIN,23,wr,15,7,53,35,66.00%,302,8.6,1,22,2.3,20.1,0
Ben Watson,NOR,38,te,16,4,46,35,76.10%,400,11.4,2,32,2.2,25,0
Mark Andrews,BAL,22,te,16,3,50,34,68.00%,552,16.2,3,74,2.1,34.5,0
Mike Davis,SEA,25,rb,15,2,42,34,81.00%,214,6.3,1,18,2.3,14.3,0
O.J. Howard,TAM,24,TE,10,8,48,34,70.80%,565,16.6,5,75,3.4,56.5,0
LeSean McCoy,BUF,30,qb/RB,14,13,46,34,73.90%,238,7,0,24,2.4,17,0
Ricky Seals-Jones,ARI,23,te,15,5,69,34,49.30%,343,10.1,1,40,2.3,22.9,0
Gerald Everett,LAR,24,,16,0,50,33,66.00%,320,9.7,3,40,2.1,20,0
Michael Gallup,DAL,22,WR,16,8,68,33,48.50%,507,15.4,2,49,2.1,31.7,0
Dallas Goedert,PHI,23,TE,16,8,44,33,75.00%,334,10.1,4,32,2.1,20.9,0
Anthony Miller,CHI,24,wr,15,4,54,33,61.10%,423,12.8,7,55,2.2,28.2,1
Tevin Coleman,ATL,25,RB,16,14,44,32,72.70%,276,8.6,5,39,2,17.3,2
Chris Conley,KAN,26,WR,16,13,52,32,61.50%,334,10.4,5,27,2,20.9,2
Phillip Dorsett,NWE,25,wr,16,2,42,32,76.20%,290,9.1,3,20,2,18.1,0
Will Fuller,HOU,24,wr,7,7,45,32,71.10%,503,15.7,4,73,4.6,71.9,0
Kerryon Johnson,DET,21,rb/wr,10,7,39,32,82.10%,213,6.7,1,24,3.2,21.3,1
Bruce Ellington,2TM,27,,7,3,42,31,73.80%,224,7.2,1,23,4.4,32,1
Jeff Heuerman,DEN,26,TE,11,10,48,31,64.60%,281,9.1,2,36,2.8,25.5,0
Cameron Brate,TAM,27,te,16,2,49,30,61.20%,289,9.6,6,21,1.9,18.1,1
DaeSean Hamilton,DEN,23,wr,14,5,45,30,66.70%,243,8.1,2,24,2.1,17.4,0
Jesse James,PIT,24,te,16,7,39,30,76.90%,423,14.1,2,51,1.9,26.4,0
Kyle Juszczyk*,SFO,27,FB,16,14,41,30,73.20%,324,10.8,1,56,1.9,20.3,2
Jamison Crowder,WAS,25,wr,9,7,49,29,59.20%,388,13.4,2,79,3.2,43.1,0
Josh Reynolds,LAR,23,WR,16,8,53,29,54.70%,402,13.9,5,33,1.8,25.1,0
Nick Vannett,SEA,25,TE,15,9,43,29,67.40%,269,9.3,3,32,1.9,17.9,1
Keke Coutee,HOU,21,wr,6,2,41,28,68.30%,287,10.3,1,40,4.7,47.8,0
Antonio Gates,LAC,38,te,16,1,45,28,62.20%,333,11.9,2,27,1.8,20.8,1
Maurice Harris,WAS,26,wr,12,7,47,28,59.60%,304,10.9,0,42,2.3,25.3,1
Dontrelle Inman,IND,29,wr,9,4,39,28,71.80%,304,10.9,3,29,3.1,33.8,0
Wendell Smallwood,PHI,24,rb,16,6,35,28,80.00%,230,8.2,2,36,1.8,14.4,2
Tre'Quan Smith,NOR,22,wr,15,7,44,28,63.60%,427,15.3,5,62,1.9,28.5,0
Matt Breida,SFO,23,RB,14,13,31,27,87.10%,261,9.7,2,26,1.9,18.6,1
Robert Foster,BUF,24,wr,13,3,44,27,61.40%,541,20,3,75,2.1,41.6,0
Blake Jarwin,DAL,24,te,16,4,36,27,75.00%,307,11.4,3,39,1.7,19.2,0
Greg Olsen,CAR,33,TE,9,9,38,27,71.10%,291,10.8,4,23,3,32.3,0
Zach Pascal,IND,24,wr,16,4,46,27,58.70%,268,9.9,2,28,1.7,16.8,0
Dante Pettis,SFO,23,wr,12,7,45,27,60.00%,467,17.3,5,75,2.3,38.9,2
Ito Smith,ATL,23,,14,0,32,27,84.40%,152,5.6,0,20,1.9,10.9,1
Jamaal Williams,GNB,23,RB,16,8,41,27,65.90%,210,7.8,0,26,1.7,13.1,0
Jack Doyle,IND,28,te,6,6,33,26,78.80%,245,9.4,2,20,4.3,40.8,1
Kareem Hunt,KAN,23,RB,11,11,35,26,74.30%,378,14.5,7,67,2.4,34.4,0
Aaron Jones,GNB,24,RB,12,8,35,26,74.30%,206,7.9,1,24,2.2,17.2,1
David Moore,SEA,23,wr,16,7,53,26,49.10%,445,17.1,5,54,1.6,27.8,2
Jaylen Samuels,PIT,22,rb,14,3,29,26,89.70%,199,7.7,3,23,1.9,14.2,1
Tajae Sharpe,TEN,24,WR,16,13,47,26,55.30%,316,12.2,2,28,1.6,19.8,0
Geoff Swaim,DAL,25,TE,9,9,32,26,81.30%,242,9.3,1,43,2.9,26.9,0
Trent Taylor,SFO,24,,14,0,41,26,63.40%,215,8.3,1,23,1.9,15.4,1
Albert Wilson,MIA,26,wr,7,3,35,26,74.30%,391,15,4,75,3.7,55.9,0
Kelvin Benjamin,2TM,27,,15,10,67,25,37.30%,380,15.2,1,40,1.7,25.3,0
Vernon Davis,WAS,34,te/wr,14,8,36,25,69.40%,367,14.7,2,53,1.8,26.2,0
Rhett Ellison,NYG,30,TE,14,12,34,25,73.50%,272,10.9,1,29,1.8,19.4,0
Lamar Miller*,HOU,27,RB,14,14,35,25,71.40%,163,6.5,1,16,1.8,11.6,1
Ty Montgomery,2TM,25,,13,0,40,25,62.50%,235,9.4,0,43,1.9,18.1,2
Pierre Garcon,SFO,32,WR,8,8,46,24,52.20%,286,11.9,1,25,3,35.8,0
Ryan Griffin,HOU,28,TE,14,11,43,24,55.80%,305,12.7,0,47,1.7,21.8,0
Tyler Higbee,LAR,25,TE,16,16,34,24,70.60%,292,12.2,2,36,1.5,18.3,1
Matt LaCosse,DEN,26,te,15,5,37,24,64.90%,250,10.4,1,44,1.6,16.7,0
James O'Shaughnessy,JAX,26,TE,14,9,38,24,63.20%,214,8.9,0,17,1.7,15.3,0
DeVante Parker,MIA,25,wr,11,7,47,24,51.10%,309,12.9,1,46,2.2,28.1,0
Nick Boyle,BAL,25,TE,16,13,37,23,62.20%,213,9.3,0,25,1.4,13.3,0
Marquise Goodwin,SFO,28,WR,11,8,43,23,53.50%,395,17.2,4,67,2.1,35.9,1
Tim Patrick,DEN,25,wr,16,4,41,23,56.10%,315,13.7,1,26,1.4,19.7,2
Damien Williams,KAN,26,rb,16,3,24,23,95.80%,160,7,2,32,1.4,10,1
DeAndre Carter,2TM,25,,14,4,25,22,88.00%,216,9.8,0,50,1.6,15.4,5
Corey Clement,PHI,24,,11,0,25,22,88.00%,192,8.7,0,23,2,17.5,4
Jason Croom,BUF,24,te,15,3,35,22,62.90%,259,11.8,1,26,1.5,17.3,2
Leonard Fournette,JAX,23,RB,8,8,26,22,84.60%,185,8.4,1,31,2.8,23.1,0
Mike Gesicki,MIA,23,te,16,7,32,22,68.80%,202,9.2,0,27,1.4,12.6,1
Latavius Murray,MIN,28,rb,16,6,26,22,84.60%,141,6.4,0,16,1.4,8.8,0
Demarcus Robinson,KAN,24,wr,16,5,33,22,66.70%,288,13.1,4,89,1.4,18,0
Charles Clay,BUF,29,TE/wr,13,12,36,21,58.30%,184,8.8,0,21,1.6,14.2,1
Isaiah Crowell,NYJ,25,rb,13,6,28,21,75.00%,152,7.2,0,21,1.6,11.7,0
Jakeem Grant,MIA,26,wr,10,2,34,21,61.80%,268,12.8,2,52,2.1,26.8,0
Mark Ingram,NOR,29,rb,12,6,27,21,77.80%,170,8.1,1,28,1.8,14.2,3
Cordarrelle Patterson,NWE,27,rb/wr,15,5,28,21,75.00%,247,11.8,3,55,1.4,16.5,1
John Ross,CIN,24,WR,13,10,58,21,36.20%,210,10,7,39,1.6,16.2,0
Equanimeous St. Brown,GNB,22,wr,12,7,36,21,58.30%,328,15.6,0,54,1.8,27.3,0
Levine Toilolo,DET,27,TE,16,10,24,21,87.50%,263,12.5,1,39,1.3,16.4,0
Geronimo Allison,GNB,24,wr,5,4,30,20,66.70%,303,15.2,2,64,4,60.6,1
Peyton Barber,TAM,24,RB,16,16,29,20,69.00%,92,4.6,1,10,1.3,5.8,1
Alfred Blue,HOU,27,rb,16,2,27,20,74.10%,154,7.7,0,28,1.3,9.6,0
Chris Carson,SEA,24,RB,14,14,24,20,83.30%,163,8.2,0,27,1.4,11.6,3
Nick Chubb,CLE,23,RB,16,9,29,20,69.00%,149,7.5,2,24,1.3,9.3,0
Chase Edmonds,ARI,22,,16,0,23,20,87.00%,103,5.2,0,13,1.3,6.4,1
Alex Erickson,CIN,26,wr,16,6,29,20,69.00%,167,8.4,0,28,1.3,10.4,1
Jordan Howard,CHI,24,RB,16,15,26,20,76.90%,145,7.3,0,18,1.3,9.1,2
Allen Hurns,DAL,27,wr,16,7,35,20,57.10%,295,14.8,2,49,1.3,18.4,1
Jordan Matthews,PHI,26,wr,14,3,28,20,71.40%,300,15,2,56,1.4,21.4,0
Adrian Peterson,WAS,33,RB,16,16,26,20,76.90%,208,10.4,1,52,1.3,13,3
Paul Richardson,WAS,26,wr,7,4,35,20,57.10%,262,13.1,2,46,2.9,37.4,0
Jonnu Smith,TEN,23,TE,13,12,30,20,66.70%,258,12.9,3,61,1.5,19.8,1
Jordan Thomas,HOU,22,TE,16,10,27,20,74.10%,215,10.8,4,39,1.3,13.4,0
Spencer Ware,KAN,27,rb,13,2,23,20,87.00%,224,11.2,0,31,1.5,17.2,0
Martavis Bryant,OAK,27,wr,8,2,27,19,70.40%,266,14,0,47,2.4,33.3,1
Anthony Firkser,TEN,23,,12,0,20,19,95.00%,225,11.8,1,28,1.6,18.8,0
Virgil Green,LAC,30,TE,16,16,27,19,70.40%,210,11.1,1,26,1.2,13.1,0
T.J. Jones,DET,26,wr,15,3,26,19,73.10%,190,10,2,26,1.3,12.7,0
Lance Kendricks,GNB,30,te,16,3,25,19,76.00%,170,8.9,1,22,1.2,10.6,0
Elijah McGuire,NYJ,24,rb,8,3,31,19,61.30%,193,10.2,1,20,2.4,24.1,2
Chris Moore,BAL,25,,16,0,25,19,76.00%,196,10.3,1,30,1.2,12.3,0
Trent Sherfield,ARI,22,wr,13,2,28,19,67.90%,210,11.1,1,21,1.5,16.2,0
Doug Martin,OAK,29,RB,16,9,24,18,75.00%,116,6.4,0,23,1.1,7.3,3
Isaiah McKenzie,2TM,23,,8,1,30,18,60.00%,179,9.9,0,23,2.3,22.4,2
Jordan Akins,HOU,26,te,16,6,25,17,68.00%,225,13.2,0,28,1.1,14.1,0
Trenton Cannon,NYJ,24,,16,0,25,17,68.00%,144,8.5,0,35,1.1,9,0
Ted Ginn,NOR,33,wr,5,3,30,17,56.70%,209,12.3,2,42,3.4,41.8,1
Marlon Mack,IND,22,RB,12,10,26,17,65.40%,103,6.1,1,29,1.4,8.6,2
Aldrick Robinson,MIN,30,,14,0,35,17,48.60%,231,13.6,5,40,1.2,16.5,0
Torrey Smith,CAR,29,wr,11,6,31,17,54.80%,190,11.2,2,35,1.5,17.3,0
Deonte Thompson,2TM,29,,13,6,30,17,56.70%,161,9.5,0,15,1.3,12.4,0
Chad Williams,ARI,24,wr,10,7,46,17,37.00%,171,10.1,1,22,1.7,17.1,0
Kapri Bibbs,2TM,25,,12,0,23,16,69.60%,115,7.2,1,23,1.3,9.6,1
Bennie Fowler,NYG,27,wr,10,5,27,16,59.30%,199,12.4,1,26,1.6,19.9,1
Josh Hill,NOR,28,TE,16,11,24,16,66.70%,185,11.6,1,23,1,11.6,0
Breshad Perriman,CLE,25,wr,10,2,25,16,64.00%,340,21.3,2,66,1.6,34,0
Terrelle Pryor,2TM,29,,8,1,30,16,53.30%,252,15.8,2,44,2,31.5,0
James Washington,PIT,22,wr,14,6,38,16,42.10%,217,13.6,1,47,1.1,15.5,0
